Hora,"Cantidad de transacciones"
"22-01-2018 06:01",34
"22-01-2018 07:01",2
"22-01-2018 08:01",3
"22-01-2018 09:01",26
"22-01-2018 16:01",30
"22-01-2018 17:01",7
"22-01-2018 18:01",12
"22-01-2018 19:01",49
"23-01-2018 05:01",54
"23-01-2018 06:01",45
"23-01-2018 07:01",8
"23-01-2018 09:01",7
"23-01-2018 10:01",61
"23-01-2018 12:01",7
"23-01-2018 13:01",52
"23-01-2018 14:01",15
"23-01-2018 16:01",52
"23-01-2018 17:01",65
"23-01-2018 18:01",3
"23-01-2018 19:01",4
"23-01-2018 20:01",41
"24-01-2018 05:01",70
"24-01-2018 06:01",9
"24-01-2018 07:01",54
"24-01-2018 08:01",30
"24-01-2018 09:01",7
"24-01-2018 10:01",3
"24-01-2018 11:01",11
"24-01-2018 12:01",5
"24-01-2018 13:01",4
"24-01-2018 14:01",43
"24-01-2018 15:01",59
"24-01-2018 16:01",25
"24-01-2018 17:01",52
"24-01-2018 18:01",6
"24-01-2018 19:01",6
"24-01-2018 20:01",1
"24-01-2018 21:01",2
"25-01-2018 04:01",12
"25-01-2018 05:01",103
"25-01-2018 06:01",137
"25-01-2018 07:01",110
"25-01-2018 08:01",21
"25-01-2018 09:01",1
"25-01-2018 10:01",17
"25-01-2018 11:01",22
"25-01-2018 12:01",1
"25-01-2018 13:01",38
"25-01-2018 14:01",66
"25-01-2018 15:01",99
"25-01-2018 16:01",12
"25-01-2018 17:01",18
"25-01-2018 18:01",47
"25-01-2018 19:01",17
"25-01-2018 20:01",2
"25-01-2018 21:01",1
"25-01-2018 22:01",18
"25-01-2018 23:01",623
"26-01-2018 00:01",2315
"26-01-2018 01:01",991
"26-01-2018 02:01",731
"26-01-2018 03:01",2211
"26-01-2018 04:01",14730
"26-01-2018 05:01",34326
"26-01-2018 06:01",46932
"26-01-2018 07:01",39897
"26-01-2018 08:01",29443
"26-01-2018 09:01",27850
"26-01-2018 10:01",28040
"26-01-2018 11:01",27065
"26-01-2018 12:01",27443
"26-01-2018 13:01",26914
"26-01-2018 14:01",28107
"26-01-2018 15:01",34682
"26-01-2018 16:01",39712
"26-01-2018 17:01",39854
"26-01-2018 18:01",35065
"26-01-2018 19:01",26353
"26-01-2018 20:01",19065
"26-01-2018 21:01",14918
"26-01-2018 22:01",10589
"26-01-2018 23:01",6029
"27-01-2018 00:01",2502
"27-01-2018 01:01",1370
"27-01-2018 02:01",818
"27-01-2018 03:01",1459
"27-01-2018 04:01",8556
"27-01-2018 05:01",20755
"27-01-2018 06:01",30499
"27-01-2018 07:01",31206
"27-01-2018 08:01",21593
"27-01-2018 09:01",21321
"27-01-2018 10:01",20019
"27-01-2018 11:01",1352
