"Cantidad de pasajeros",Hora
33,"22-01-2018 06:01"
2,"22-01-2018 07:01"
3,"22-01-2018 08:01"
23,"22-01-2018 09:01"
30,"22-01-2018 16:01"
6,"22-01-2018 17:01"
10,"22-01-2018 18:01"
42,"22-01-2018 19:01"
51,"23-01-2018 05:01"
44,"23-01-2018 06:01"
6,"23-01-2018 07:01"
6,"23-01-2018 09:01"
51,"23-01-2018 10:01"
7,"23-01-2018 12:01"
47,"23-01-2018 13:01"
12,"23-01-2018 14:01"
47,"23-01-2018 16:01"
64,"23-01-2018 17:01"
2,"23-01-2018 18:01"
3,"23-01-2018 19:01"
40,"23-01-2018 20:01"
65,"24-01-2018 05:01"
9,"24-01-2018 06:01"
53,"24-01-2018 07:01"
29,"24-01-2018 08:01"
7,"24-01-2018 09:01"
3,"24-01-2018 10:01"
10,"24-01-2018 11:01"
5,"24-01-2018 12:01"
3,"24-01-2018 13:01"
35,"24-01-2018 14:01"
51,"24-01-2018 15:01"
21,"24-01-2018 16:01"
47,"24-01-2018 17:01"
5,"24-01-2018 18:01"
6,"24-01-2018 19:01"
1,"24-01-2018 20:01"
2,"24-01-2018 21:01"
11,"25-01-2018 04:01"
97,"25-01-2018 05:01"
131,"25-01-2018 06:01"
100,"25-01-2018 07:01"
20,"25-01-2018 08:01"
1,"25-01-2018 09:01"
14,"25-01-2018 10:01"
18,"25-01-2018 11:01"
1,"25-01-2018 12:01"
37,"25-01-2018 13:01"
60,"25-01-2018 14:01"
93,"25-01-2018 15:01"
12,"25-01-2018 16:01"
13,"25-01-2018 17:01"
44,"25-01-2018 18:01"
15,"25-01-2018 19:01"
1,"25-01-2018 20:01"
1,"25-01-2018 21:01"
18,"25-01-2018 22:01"
556,"25-01-2018 23:01"
1932,"26-01-2018 00:01"
865,"26-01-2018 01:01"
617,"26-01-2018 02:01"
2007,"26-01-2018 03:01"
13372,"26-01-2018 04:01"
30639,"26-01-2018 05:01"
41450,"26-01-2018 06:01"
34878,"26-01-2018 07:01"
25148,"26-01-2018 08:01"
23078,"26-01-2018 09:01"
22476,"26-01-2018 10:01"
21592,"26-01-2018 11:01"
21935,"26-01-2018 12:01"
21713,"26-01-2018 13:01"
22842,"26-01-2018 14:01"
28976,"26-01-2018 15:01"
33807,"26-01-2018 16:01"
34378,"26-01-2018 17:01"
29738,"26-01-2018 18:01"
21755,"26-01-2018 19:01"
15634,"26-01-2018 20:01"
12090,"26-01-2018 21:01"
8675,"26-01-2018 22:01"
5058,"26-01-2018 23:01"
2110,"27-01-2018 00:01"
1164,"27-01-2018 01:01"
680,"27-01-2018 02:01"
1328,"27-01-2018 03:01"
7644,"27-01-2018 04:01"
18544,"27-01-2018 05:01"
26941,"27-01-2018 06:01"
27332,"27-01-2018 07:01"
18544,"27-01-2018 08:01"
17716,"27-01-2018 09:01"
16386,"27-01-2018 10:01"
1159,"27-01-2018 11:01"
