Profit,Range
9.75,"2018-01-22 06:15:00"
15.75,"2018-01-22 06:30:00"
1.50,"2018-01-22 07:30:00"
2.25,"2018-01-22 09:00:00"
4.00,"2018-01-22 09:15:00"
14.00,"2018-01-22 09:45:00"
10.50,"2018-01-22 16:45:00"
11.00,"2018-01-22 17:00:00"
0.25,"2018-01-22 17:15:00"
0.50,"2018-01-22 17:30:00"
0.50,"2018-01-22 17:45:00"
2.25,"2018-01-22 18:15:00"
5.25,"2018-01-22 18:30:00"
1.50,"2018-01-22 18:45:00"
8.00,"2018-01-22 19:15:00"
22.50,"2018-01-22 19:30:00"
6.00,"2018-01-22 19:45:00"
0.75,"2018-01-23 05:30:00"
37.50,"2018-01-23 06:00:00"
26.75,"2018-01-23 06:15:00"
5.25,"2018-01-23 06:30:00"
1.50,"2018-01-23 07:00:00"
5.25,"2018-01-23 07:45:00"
5.25,"2018-01-23 09:45:00"
33.25,"2018-01-23 10:15:00"
10.25,"2018-01-23 10:30:00"
0.75,"2018-01-23 10:45:00"
3.00,"2018-01-23 12:45:00"
1.50,"2018-01-23 13:00:00"
3.75,"2018-01-23 13:15:00"
34.75,"2018-01-23 14:00:00"
11.00,"2018-01-23 14:30:00"
6.00,"2018-01-23 16:15:00"
14.00,"2018-01-23 16:30:00"
0.75,"2018-01-23 16:45:00"
17.75,"2018-01-23 17:00:00"
31.50,"2018-01-23 17:15:00"
1.50,"2018-01-23 17:30:00"
6.75,"2018-01-23 17:45:00"
6.75,"2018-01-23 18:00:00"
0.25,"2018-01-23 18:45:00"
1.00,"2018-01-23 20:00:00"
4.75,"2018-01-23 20:15:00"
4.75,"2018-01-23 20:30:00"
25.50,"2018-01-24 05:30:00"
21.75,"2018-01-24 05:45:00"
4.50,"2018-01-24 06:00:00"
1.25,"2018-01-24 06:15:00"
4.50,"2018-01-24 06:30:00"
0.25,"2018-01-24 06:45:00"
13.75,"2018-01-24 07:15:00"
3.75,"2018-01-24 07:30:00"
4.00,"2018-01-24 07:45:00"
18.00,"2018-01-24 08:00:00"
5.00,"2018-01-24 08:15:00"
1.25,"2018-01-24 08:30:00"
8.25,"2018-01-24 08:45:00"
6.75,"2018-01-24 09:00:00"
2.00,"2018-01-24 09:15:00"
3.00,"2018-01-24 09:30:00"
0.25,"2018-01-24 10:15:00"
0.75,"2018-01-24 10:45:00"
0.25,"2018-01-24 11:00:00"
0.25,"2018-01-24 11:15:00"
4.00,"2018-01-24 11:45:00"
2.50,"2018-01-24 12:00:00"
1.50,"2018-01-24 12:15:00"
1.25,"2018-01-24 12:30:00"
0.50,"2018-01-24 13:30:00"
0.25,"2018-01-24 13:45:00"
0.75,"2018-01-24 14:00:00"
21.50,"2018-01-24 14:15:00"
2.25,"2018-01-24 14:45:00"
7.25,"2018-01-24 15:00:00"
3.75,"2018-01-24 15:15:00"
1.50,"2018-01-24 15:30:00"
2.25,"2018-01-24 15:45:00"
27.75,"2018-01-24 16:00:00"
1.75,"2018-01-24 16:15:00"
11.75,"2018-01-24 16:30:00"
0.25,"2018-01-24 16:45:00"
0.75,"2018-01-24 17:00:00"
35.00,"2018-01-24 17:30:00"
2.00,"2018-01-24 18:00:00"
0.50,"2018-01-24 18:30:00"
0.50,"2018-01-24 18:45:00"
1.00,"2018-01-24 19:00:00"
3.00,"2018-01-24 19:15:00"
0.75,"2018-01-24 19:30:00"
0.25,"2018-01-24 19:45:00"
0.25,"2018-01-24 20:15:00"
0.50,"2018-01-24 21:45:00"
7.25,"2018-01-25 04:15:00"
1.00,"2018-01-25 04:30:00"
22.00,"2018-01-25 05:15:00"
41.50,"2018-01-25 05:30:00"
11.00,"2018-01-25 05:45:00"
1.00,"2018-01-25 06:00:00"
32.00,"2018-01-25 06:15:00"
20.50,"2018-01-25 06:30:00"
41.75,"2018-01-25 06:45:00"
4.00,"2018-01-25 07:00:00"
1.75,"2018-01-25 07:15:00"
0.75,"2018-01-25 07:30:00"
21.50,"2018-01-25 07:45:00"
53.00,"2018-01-25 08:00:00"
12.50,"2018-01-25 08:15:00"
2.75,"2018-01-25 09:00:00"
0.25,"2018-01-25 09:15:00"
0.25,"2018-01-25 10:15:00"
0.25,"2018-01-25 10:45:00"
10.75,"2018-01-25 11:00:00"
11.50,"2018-01-25 11:15:00"
3.00,"2018-01-25 11:45:00"
0.25,"2018-01-25 12:00:00"
0.25,"2018-01-25 12:45:00"
6.50,"2018-01-25 13:15:00"
3.00,"2018-01-25 13:30:00"
18.50,"2018-01-25 13:45:00"
3.50,"2018-01-25 14:15:00"
0.75,"2018-01-25 14:30:00"
3.00,"2018-01-25 14:45:00"
40.75,"2018-01-25 15:00:00"
12.50,"2018-01-25 15:15:00"
8.50,"2018-01-25 15:30:00"
10.00,"2018-01-25 15:45:00"
40.75,"2018-01-25 16:00:00"
6.25,"2018-01-25 16:15:00"
1.75,"2018-01-25 16:30:00"
3.25,"2018-01-25 17:15:00"
5.50,"2018-01-25 17:30:00"
0.75,"2018-01-25 17:45:00"
3.00,"2018-01-25 18:00:00"
0.75,"2018-01-25 18:15:00"
0.25,"2018-01-25 18:30:00"
27.75,"2018-01-25 18:45:00"
3.50,"2018-01-25 19:00:00"
7.75,"2018-01-25 19:15:00"
0.75,"2018-01-25 19:30:00"
0.25,"2018-01-25 19:45:00"
0.50,"2018-01-25 20:00:00"
0.50,"2018-01-25 20:15:00"
0.25,"2018-01-25 21:30:00"
0.50,"2018-01-25 22:15:00"
3.75,"2018-01-25 22:30:00"
0.25,"2018-01-25 22:45:00"
